year,Qa,ID,country
2005,61.04369863,JP_0000167,JP
2006,84.99736986,JP_0000167,JP
2007,58.86076712,JP_0000167,JP
2008,47.11333333,JP_0000167,JP
2009,84.3246832,JP_0000167,JP
2010,76.58687671,JP_0000167,JP
2011,76.28454795,JP_0000167,JP
2012,74.03901639,JP_0000167,JP
1955,195.827863,JP_0000367,JP
1956,215.6584426,JP_0000367,JP
1957,,JP_0000367,JP
1958,220.5738904,JP_0000367,JP
1959,198.4844384,JP_0000367,JP
1960,176.8106557,JP_0000367,JP
1961,185.7358904,JP_0000367,JP
1962,194.2378082,JP_0000367,JP
1963,183.1326027,JP_0000367,JP
1964,189.8098361,JP_0000367,JP
1965,221.9808219,JP_0000367,JP
1966,212.7654795,JP_0000367,JP
1967,179.673726,JP_0000367,JP
1968,166.4973224,JP_0000367,JP
1969,191.9509315,JP_0000367,JP
1970,183.2492877,JP_0000367,JP
1971,206.1563288,JP_0000367,JP
1972,207.4239891,JP_0000367,JP
1973,175.2800548,JP_0000367,JP
1974,260.4153699,JP_0000367,JP
1975,170.5186849,JP_0000367,JP
1976,207.6387705,JP_0000367,JP
1977,222.4733151,JP_0000367,JP
1978,211.0812603,JP_0000367,JP
1979,198.1494795,JP_0000367,JP
1980,258.7328962,JP_0000367,JP
1981,278.9466575,JP_0000367,JP
1982,187.1281644,JP_0000367,JP
1983,204.4327123,JP_0000367,JP
1984,182.3065301,JP_0000367,JP
1985,186.9477808,JP_0000367,JP
1986,209.6707945,JP_0000367,JP
1987,189.2501644,JP_0000367,JP
1988,231.0004918,JP_0000367,JP
1989,178.5939178,JP_0000367,JP
1990,167.0574795,JP_0000367,JP
1991,257.0409041,JP_0000367,JP
1992,168.6489617,JP_0000367,JP
1993,236.0064658,JP_0000367,JP
1994,176.2021918,JP_0000367,JP
1995,231.5174795,JP_0000367,JP
1996,228.4497814,JP_0000367,JP
1997,216.0539452,JP_0000367,JP
1998,235.9347397,JP_0000367,JP
1999,228.7730685,JP_0000367,JP
2000,257.7603825,JP_0000367,JP
2001,224.7230411,JP_0000367,JP
2002,244.575884,JP_0000367,JP
2003,207.6828219,JP_0000367,JP
2004,235.5889972,JP_0000367,JP
2005,218.3290137,JP_0000367,JP
2006,286.559589,JP_0000367,JP
2007,215.241511,JP_0000367,JP
2008,203.875,JP_0000367,JP
2009,201.7308767,JP_0000367,JP
2010,240.9025344,JP_0000367,JP
2011,263.2117039,JP_0000367,JP
2012,228.711694,JP_0000367,JP
1964,176.436612,JP_0000368,JP
1965,213.4854795,JP_0000368,JP
1966,210.8703014,JP_0000368,JP
1967,181.6818356,JP_0000368,JP
1968,158.4838798,JP_0000368,JP
1969,173.8418356,JP_0000368,JP
1970,143.08,JP_0000368,JP
1971,151.2677534,JP_0000368,JP
1972,147.1977049,JP_0000368,JP
1973,135.1823562,JP_0000368,JP
1974,250.3308493,JP_0000368,JP
1975,180.5238356,JP_0000368,JP
1976,196.2898634,JP_0000368,JP
1977,189.9495068,JP_0000368,JP
1978,178.4650137,JP_0000368,JP
1979,170.3703014,JP_0000368,JP
1980,220.4213661,JP_0000368,JP
1981,238.3306575,JP_0000368,JP
1982,165.3171507,JP_0000368,JP
1983,179.4842466,JP_0000368,JP
1984,157.4955738,JP_0000368,JP
1985,163.3777534,JP_0000368,JP
1986,177.7810959,JP_0000368,JP
1987,173.3152877,JP_0000368,JP
1988,208.817623,JP_0000368,JP
1989,159.023863,JP_0000368,JP
1990,152.7023014,JP_0000368,JP
1991,241.3398356,JP_0000368,JP
1992,166.2824863,JP_0000368,JP
1993,236.6958904,JP_0000368,JP
1994,171.1866301,JP_0000368,JP
1995,215.6957808,JP_0000368,JP
