ID,year,Q,Ql,Qu
JP_0001023,1784,44.1112093196228,29.9068317807089,65.0620166625171
JP_0001023,1785,51.9698285738221,35.234874418602,76.6531207094796
JP_0001023,1786,50.1422632805655,33.9958086882192,73.957545471446
JP_0001023,1787,55.4784616746245,37.6136824708955,81.8281940930496
JP_0001023,1788,61.8029412560025,41.9015981698346,91.1565122745763
JP_0001023,1789,62.9302446287652,42.6658953372678,92.8192332009275
JP_0001023,1790,50.6886076353472,34.366223124024,74.7633784119286
JP_0001023,1791,75.1044425593837,50.9198447345267,110.7756184561
JP_0001023,1792,54.0898520068916,36.6722230010124,79.7800583304334
JP_0001023,1793,74.5413250246834,50.5380582987702,109.945045842228
JP_0001023,1794,52.522163139666,35.609350140355,77.4677889373633
JP_0001023,1795,60.2567486583713,40.8532995030973,88.8759488961927
JP_0001023,1796,65.1879378069578,44.1965822337303,96.1492274006801
JP_0001023,1797,56.1635453751473,38.0781603961953,82.8386612243329
JP_0001023,1798,63.7305357571516,43.2084824148249,93.9996260201917
JP_0001023,1799,68.2997916509871,46.3063790603191,100.739069524131
JP_0001023,1800,52.6143820054416,35.671873343602,77.6038075474679
JP_0001023,1801,51.0347602350988,34.6009101283229,75.2739376679586
JP_0001023,1802,62.1776054641868,42.1556156774307,91.7091248492873
JP_0001023,1803,60.170969503847,40.7951423411373,88.7494285657135
JP_0001023,1804,63.3545083483786,42.9535406747873,93.4450027869477
JP_0001023,1805,59.6259649467666,40.4256362709178,87.945571765575
JP_0001023,1806,60.3466750256535,40.9142684218923,89.0085861758493
JP_0001023,1807,53.2773435997933,36.1213527658432,78.5816455837316
JP_0001023,1808,54.0110103311335,36.6187693603035,79.6637704639025
JP_0001023,1809,53.6407209631011,36.3677179379839,79.1176105783661
JP_0001023,1810,51.6396547144168,35.0110207944569,76.1661293647967
JP_0001023,1811,58.0043844878807,39.3262256052209,85.5538147391198
JP_0001023,1812,50.0893815451917,33.9599555527352,73.8795473299054
JP_0001023,1813,61.6001300568949,41.7640947889818,90.8573750298892
JP_0001023,1814,66.6244041276205,45.1704878979217,98.2679495380152
JP_0001023,1815,62.1720736267886,42.151865162923,91.7009656420807
JP_0001023,1816,68.8606841505128,46.686656950885,101.566360312864
JP_0001023,1817,75.322032447842,51.0673678764146,111.09655359179
JP_0001023,1818,59.3880868987288,40.2643580181399,87.5947125222262
JP_0001023,1819,51.9279373897312,35.2064727353332,76.5913331285139
JP_0001023,1820,60.1823613221013,40.8028658471909,88.7662309767223
JP_0001023,1821,55.0645088249,37.33302777036,81.2176325686279
JP_0001023,1822,57.4155294601633,38.9269894806893,84.6852804999528
